time (fs),deltaI
12.46993982,-105.3799112
12.41273885,-98.2567945
12.35553788,-90.5005119
12.29833691,-81.53066127
12.24113595,-70.81960435
12.18393498,-59.2643262
12.12673401,-46.91759063
12.06953304,-33.77939766
12.01233207,-20.53567703
11.9551311,-7.028137267
11.89793014,7.16533225
11.84072917,21.67538473
11.7835282,35.86885425
11.72632723,49.69297697
11.66912626,62.46182316
11.61192529,74.49197576
11.55472432,85.0447412
11.49752336,94.22564713
11.44032239,101.2432361
11.38312142,106.2557997
11.32592045,108.4191166
11.26871948,108.3663528
11.21151851,105.9392168
11.15431755,101.0321808
11.09711658,93.69800886
11.03991561,84.78092206
10.98271464,74.86132255
10.92551367,63.62262735
10.8683127,51.43418327
10.81111173,38.61257326
10.75391077,25.21056115
10.6967098,11.75578522
10.63950883,-1.224116275
10.58230786,-14.15125394
10.52510689,-26.4979895
10.46790592,-38.3170868
10.41070496,-49.02814372
10.35350399,-59.00050706
10.29630302,-67.86483003
10.23910205,-76.04322324
10.18190108,-83.43015905
10.12470011,-89.49799918
10.06749914,-94.56332659
10.01029818,-98.8371966
9.953097207,-101.8447347
9.895896239,-103.7442325
9.838695271,-104.1135793
9.781494302,-102.0557901
9.724293334,-97.88744771
9.667092365,-91.97789906
9.609891397,-84.53819942
9.552690428,-75.5683488
9.49548946,-65.01558336
9.438288491,-52.72161162
9.381087523,-39.31959951
9.323886554,-24.91507469
9.266685586,-9.191454182
9.209484617,7.481915213
9.152283649,24.31357609
9.09508268,40.67036252
9.037881712,56.49951068
8.980680743,71.16785464
8.923479775,84.93921354
8.866278807,97.44424059
8.809077838,107.7859507
8.75187687,116.0171078
8.694675901,122.2432394
8.637474933,126.5698732
8.580273964,128.9442454
8.523072996,129.2608284
8.465872027,127.4140944
8.408671059,123.8261542
8.35147009,118.8663544
8.294269122,112.4291675
8.237068153,104.6201211
8.179867185,96.01961725
8.122666216,86.78594749
8.065465248,77.07740329
8.00826428,67.47438674
7.951063311,57.44925957
7.893862343,46.57991117
7.836661374,34.8135777
7.779460406,22.203023
7.722259437,9.592468301
7.665058469,-3.070850227
7.6078575,-15.83969641
7.550656532,-28.8195979
7.493455563,-41.58844408
7.436254595,-54.09347113
7.379053626,-65.59598546
7.321852658,-76.09598707
7.264651689,-85.69900362
7.207450721,-94.24674363
7.150249752,-101.3698603
7.093048784,-106.646243
7.035847816,-110.0758918
6.978646847,-111.9226257
6.921445879,-112.133681
6.86424491,-109.4954897
6.807043942,-104.5884538
6.749842973,-96.88493499
6.692642005,-87.33468227
6.635441036,-75.99045942
6.578240068,-62.58844731
6.521039099,-47.55075656
6.463838131,-31.08844247
6.406637162,-14.20401777
6.349436194,2.996989901
6.292235225,19.56483164
6.235034257,35.86885425
6.177833289,51.06483648
6.12063232,64.46684859
6.063431352,76.65529267
6.006230383,86.94423898
5.949029415,96.23067256
5.891828446,103.8286637
5.834627478,109.7909762
5.777426509,114.0648462
5.720225541,116.0698716
5.663024572,116.6502737
5.605823604,115.331178
5.548622635,112.9568058
5.491421667,108.9995187
5.434220698,103.3010254
5.37701973,96.12514491
5.319818761,87.47187725
5.262617793,77.97438835
5.205416825,66.78845699
5.148215856,54.91659587
5.091014888,41.72563907
5.033813919,28.2180993
4.976612951,13.655283
4.919411982,-2.015573683
4.862211014,-18.47788777
4.805010045,-35.4150763
4.747809077,-52.299501
4.690608108,-69.28945336
4.63340714,-85.59347597
4.576206171,-101.158805
4.519005203,-115.4578022
4.461804234,-127.6462462
4.404603266,-137.8824287
4.347402298,-145.5331837
4.290201329,-150.7568026
4.233000361,-152.8145918
4.175799392,-152.0758982
4.118598424,-148.6990133
4.061397455,-142.683937
4.004196487,-134.8748906
3.946995518,-125.1663464
3.88979455,-113.7693597
3.832593581,-100.8949859
3.775392613,-87.07086313
3.718191644,-72.87739361
3.660990676,-58.52563261
3.603789707,-44.38492692
3.546588739,-29.92763827
3.489387771,-15.73416876
3.432186802,-1.013060966
3.374985834,13.0748809
3.317784865,26.58242066
3.260583897,39.24573919
3.203382928,50.64272586
3.14618196,60.93167217
3.088980991,69.42664835
3.031780023,77.23569477
2.974579054,84.20051996
2.917378086,90.42665157
2.860177117,95.43921516
2.802976149,98.8161001
2.74577518,100.9266532
2.688574212,101.1904723
2.631373243,99.76584899
2.574172275,95.9140896
2.516971307,89.63519416
2.459770338,80.87639885
2.40256937,69.84875896
2.345368401,57.23820426
2.288167433,42.67538796
2.230966464,26.68794831
2.173765496,9.22312151
2.116564527,-8.29446912
2.059363559,-25.65376827
2.00216259,-43.01306742
1.944961622,-59.58090916
1.887760653,-75.41005732
1.830559685,-89.44523535
1.773358716,-101.3698603
